GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.util,S7SizeHelper,63,139,14,22,19,37,12,14,1,6
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.util,S7PlcFieldHandler,1549,73,123,6,285,16,86,5,15,4
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.util,S7RequestSizeCalculator,94,90,14,9,20,24,14,8,3,7
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.util,S7ResponseSizeEstimator,51,128,11,11,13,33,12,11,2,9
PLC4J: Protocol: S7,org.apache.plc4x.java.isotp.netty.model.types,ProtocolClass,0,103,0,2,0,15,0,5,0,4
PLC4J: Protocol: S7,org.apache.plc4x.java.isotp.netty.model.types,DeviceGroup,6,75,0,2,1,12,1,4,1,3
PLC4J: Protocol: S7,org.apache.plc4x.java.isotp.netty.model.types,DisconnectReason,6,185,0,2,1,22,1,4,1,3
PLC4J: Protocol: S7,org.apache.plc4x.java.isotp.netty.model.types,RejectCause,92,0,2,0,14,0,5,0,4,0
PLC4J: Protocol: S7,org.apache.plc4x.java.isotp.netty.model.types,ParameterCode,0,279,0,2,0,31,0,5,0,4
PLC4J: Protocol: S7,org.apache.plc4x.java.isotp.netty.model.types,TpduCode,2,174,1,3,1,22,1,5,0,4
PLC4J: Protocol: S7,org.apache.plc4x.java.isotp.netty.model.types,TpduSize,9,160,3,5,2,23,3,7,0,6
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.params,VarParameter,7,15,0,0,2,6,1,3,1,3
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.params,SetupCommunicationParameter,0,23,0,0,0,9,0,5,0,5
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.params,CpuServicesParameter,0,23,0,0,0,9,0,5,0,5
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.params,CpuServicesResponseParameter,9,15,0,0,3,5,3,1,3,1
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.params,CpuServicesRequestParameter,0,6,0,0,0,2,0,1,0,1
PLC4J: Protocol: S7,org.apache.plc4x.java.isoontcp.netty.model,IsoOnTcpMessage,0,4,0,0,0,2,0,1,0,1
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.payloads.ssls,SslModuleIdentificationDataRecord,11,24,0,0,4,9,4,3,4,3
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.payloads,VarPayload,28,15,0,0,4,6,1,3,1,3
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.payloads,CpuServicesPayload,0,44,0,0,0,17,0,7,0,7
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.types,DataTransportErrorCode,5,122,1,3,1,18,1,5,0,4
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.types,ParameterType,5,188,1,3,1,24,1,5,0,4
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.types,CpuServicesParameterSubFunctionGroup,5,67,1,3,1,13,1,5,0,4
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.types,VariableAddressingMode,6,163,0,2,1,20,1,4,1,3
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.types,MemoryArea,8,179,1,5,2,23,2,7,1,5
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.types,SslId,5,331,1,3,1,37,1,5,0,4
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.types,HeaderErrorClass,125,0,2,0,17,0,5,0,4,0
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.types,ParameterError,3,287,0,2,1,31,1,4,1,3
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.types,TransportSize,61,608,12,2,11,40,12,6,6,5
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.types,SpecificationType,6,53,0,2,1,10,1,4,1,3
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.types,CpuServicesParameterFunctionGroup,5,67,1,3,1,13,1,5,0,4
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.types,DataTransportSize,0,151,0,2,0,21,0,7,0,6
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.types,MessageType,0,92,0,2,0,14,0,5,0,4
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.connection,S7PlcConnection,101,281,6,14,20,66,14,17,8,12
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.connection,S7PlcConnection.1.new ChannelInboundHandlerAdapter() {...},0,21,0,2,0,5,0,3,0,2
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.connection,S7PlcConnection.new ChannelInitializer() {...},0,96,0,0,0,8,0,2,0,2
PLC4J: Protocol: S7,org.apache.plc4x.java.s7,S7PlcDriver,72,0,4,0,16,0,8,0,6,0
PLC4J: Protocol: S7,org.apache.plc4x.java.isotp.netty.model.params,DisconnectAdditionalInformationParameter,11,0,0,0,5,0,3,0,3,0
PLC4J: Protocol: S7,org.apache.plc4x.java.isotp.netty.model.params,ChecksumParameter,11,0,0,0,5,0,3,0,3,0
PLC4J: Protocol: S7,org.apache.plc4x.java.isotp.netty.model.params,TpduSizeParameter,0,11,0,0,0,5,0,3,0,3
PLC4J: Protocol: S7,org.apache.plc4x.java.isotp.netty.model.params,TsapParameter,0,9,0,0,0,4,0,2,0,2
PLC4J: Protocol: S7,org.apache.plc4x.java.isotp.netty.model.params,CalledTsapParameter,0,6,0,0,0,3,0,2,0,2
PLC4J: Protocol: S7,org.apache.plc4x.java.isotp.netty.model.params,CallingTsapParameter,0,6,0,0,0,3,0,2,0,2
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.events,S7ConnectedEvent,0,3,0,0,0,1,0,1,0,1
