GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.params,CpuServicesParameter,0,23,0,0,0,9,0,5,0,5
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.params,VarParameter,7,15,0,0,2,6,1,3,1,3
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.params,CpuServicesResponseParameter,24,0,0,0,8,0,4,0,4,0
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.params,CpuServicesRequestParameter,0,6,0,0,0,2,0,1,0,1
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.params,SetupCommunicationParameter,0,23,0,0,0,9,0,5,0,5
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.util,S7SizeHelper,13,189,5,31,6,50,5,21,0,7
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.util,S7PlcFieldHandler,232,1390,15,114,33,268,15,76,5,14
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.util,S7RequestSizeCalculator,0,184,3,20,0,44,3,19,0,10
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.util,S7ResponseSizeEstimator,0,179,2,20,0,46,2,21,0,11
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.payloads.ssls,SslModuleIdentificationDataRecord,0,35,0,0,0,13,0,7,0,7
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.payloads,VarPayload,0,43,0,0,0,10,0,4,0,4
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.payloads,CpuServicesPayload,0,44,0,0,0,17,0,7,0,7
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.types,TransportSize,52,617,12,2,9,42,10,8,4,7
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.types,SpecificationType,0,59,0,2,0,11,0,5,0,4
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.types,DataTransportErrorCode,0,127,0,4,0,19,0,6,0,4
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.types,ParameterType,0,193,0,4,0,25,0,6,0,4
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.types,CpuServicesParameterFunctionGroup,16,56,2,2,3,11,2,4,1,3
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.types,CpuServicesParameterSubFunctionGroup,16,56,2,2,3,11,2,4,1,3
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.types,DataTransportSize,0,138,0,2,0,19,0,6,0,5
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.types,VariableAddressingMode,0,169,0,2,0,21,0,5,0,4
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.types,MemoryArea,2,185,1,5,1,24,1,8,0,6
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.types,MessageType,0,92,0,2,0,14,0,5,0,4
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.types,SslId,16,320,2,2,3,35,2,4,1,3
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.types,HeaderErrorClass,0,125,0,2,0,17,0,5,0,4
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.types,ParameterError,0,290,0,2,0,32,0,5,0,4
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.events,S7ConnectedEvent,3,0,0,0,1,0,1,0,1,0
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty,S7Protocol.new MessageToMessageDecoder() {...},11,6,0,0,3,1,2,1,2,1
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty,S7Protocol,1109,623,141,39,253,144,93,30,14,15
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty,Plc4XS7Protocol,390,1066,51,78,83,237,49,86,12,42
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.payloads.items,VarPayloadItem,0,21,0,0,0,8,0,4,0,4
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.types,S7ControllerType,0,64,0,0,0,7,0,1,0,1
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.utils,S7TsapIdEncoder,0,40,0,0,0,7,0,4,0,4
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.messages,SetupCommunicationRequestMessage,0,14,0,0,0,3,0,1,0,1
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.messages,S7Message,0,89,2,10,0,24,2,12,0,8
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.messages,S7ResponseMessage,0,19,0,0,0,6,0,3,0,3
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.messages,S7RequestMessage,0,18,0,0,0,6,0,3,0,3
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.params.items,S7AnyVarParameterItem,0,47,0,0,0,17,0,9,0,9
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.model,S7Field,54,262,12,30,7,64,11,23,0,13
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.strategies,DefaultS7MessageProcessor.S7CompositeRequestMessage,3,53,0,4,1,16,1,8,1,6
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.strategies,DefaultS7MessageProcessor,91,797,13,49,15,185,13,29,2,9
