GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PLC4J: Utils: Scraper,org.apache.plc4x.java.scraper.triggeredscraper.triggerhandler,TriggerConfiguration.Comparators,0,64,0,0,0,7,0,1,0,1
PLC4J: Utils: Scraper,org.apache.plc4x.java.scraper.triggeredscraper.triggerhandler,TriggerConfiguration,231,406,41,41,43,91,32,32,4,13
PLC4J: Utils: Scraper,org.apache.plc4x.java.scraper.triggeredscraper.triggerhandler,TriggerHandler,148,0,9,0,39,0,10,0,5,0
PLC4J: Utils: Scraper,org.apache.plc4x.java.scraper.triggeredscraper.triggerhandler,TriggerConfiguration.TriggerType,0,24,0,0,0,3,0,1,0,1
PLC4J: Utils: Scraper,org.apache.plc4x.java.scraper.config.triggeredscraper,TriggeredScraperConfigurationBuilder,42,0,0,0,9,0,5,0,5,0
PLC4J: Utils: Scraper,org.apache.plc4x.java.scraper.config.triggeredscraper,TriggeredJobConfiguration,27,0,0,0,10,0,5,0,5,0
PLC4J: Utils: Scraper,org.apache.plc4x.java.scraper.config.triggeredscraper,TriggeredScraperConfiguration,240,0,16,0,52,0,19,0,11,0
PLC4J: Utils: Scraper,org.apache.plc4x.java.scraper.config.triggeredscraper,TriggeredJobConfigurationBuilder,84,0,10,0,20,0,10,0,5,0
PLC4J: Utils: Scraper,org.apache.plc4x.java.scraper.config,JobConfigurationImplBuilder,57,0,0,0,14,0,5,0,5,0
PLC4J: Utils: Scraper,org.apache.plc4x.java.scraper.config,ScraperConfiguration,61,179,6,10,13,39,4,15,0,11
PLC4J: Utils: Scraper,org.apache.plc4x.java.scraper.config,ScraperConfigurationBuilder,42,0,0,0,9,0,5,0,5,0
PLC4J: Utils: Scraper,org.apache.plc4x.java.scraper.config,JobConfigurationImpl,0,27,0,0,0,10,0,5,0,5
PLC4J: Utils: Scraper,org.apache.plc4x.java.scraper.exception,ScraperException,0,4,0,0,0,2,0,1,0,1
PLC4J: Utils: Scraper,org.apache.plc4x.java.scraper.exception,ScraperConfigurationException,11,9,0,0,4,4,2,2,2,2
PLC4J: Utils: Scraper,org.apache.plc4x.java.scraper.triggeredscraper,TriggeredScraperTask,296,0,8,0,79,0,26,0,22,0
PLC4J: Utils: Scraper,org.apache.plc4x.java.scraper.triggeredscraper,TriggeredScraperImpl,381,0,4,0,68,0,14,0,12,0
PLC4J: Utils: Scraper,org.apache.plc4x.java.scraper.triggeredscraper,TriggeredScrapeJobImpl,36,0,0,0,12,0,6,0,6,0
PLC4J: Utils: Scraper,org.apache.plc4x.java.scraper,ScraperImpl,32,327,1,5,8,54,4,13,3,11
PLC4J: Utils: Scraper,org.apache.plc4x.java.scraper,ScrapeJobImpl,0,27,0,0,0,10,0,5,0,5
PLC4J: Utils: Scraper,org.apache.plc4x.java.scraper,ScraperTaskImpl,6,314,1,7,2,81,1,21,0,18
PLC4J: Utils: Scraper,org.apache.plc4x.java.scraper.util,PercentageAboveThreshold,29,38,2,2,5,8,4,5,3,4
